,Mreal,Mobs,e_mag,group
0,14.111000061035156,-10.593827594777714,0.069,0.0
1,14.5600004196167,-10.33155449544968,0.066,0.0
2,15.281000137329102,-9.325798239504977,0.045,0.0
3,15.281000137329102,-8.923840963407827,0.045,0.0
4,14.59000015258789,-10.209160031567135,0.025,0.0
5,11.781000137329102,-12.893698229442673,0.053,-1.0
6,15.288999557495117,-9.537599808471395,0.066,0.0
7,12.720999717712402,-11.933011032568464,0.037,-1.0
8,15.842000007629395,-8.900033527702728,0.025,0.0
9,15.015999794006348,-9.714722247410927,0.062,0.0
10,14.54800033569336,-10.19047990099989,0.038,0.0
11,14.258000373840332,-9.887799898797288,0.071,0.0
12,14.258000373840332,-10.138905243673706,0.071,0.0
13,13.494000434875488,-11.127137549063574,0.039,0.0
14,14.717000007629395,-9.990586168253499,0.068,0.0
15,13.82800006866455,-8.551971632777548,0.119,-1.0
16,13.82800006866455,-10.833421952601812,0.119,0.0
17,14.711000442504883,-9.974005454252667,0.112,0.0
18,13.225000381469727,-10.533510209600475,0.105,-1.0
19,13.225000381469727,-11.171264673221994,0.105,0.0
20,14.74899959564209,-10.038020101568094,0.126,0.0
21,13.644000053405762,-10.958212487933462,0.037,0.0
22,15.819000244140625,-8.656834018898618,0.071,0.0
23,11.789999961853027,-12.849881222377658,0.04,-1.0
24,15.329000473022461,-9.28123716948948,0.046,0.0
25,15.470999717712402,-8.965525618281571,0.141,0.0
26,15.470999717712402,-8.309905245153997,0.141,0.0
27,14.807000160217285,-9.797468783117719,0.093,0.0
28,15.390000343322754,-9.08951219526002,0.126,0.0
29,13.27400016784668,-11.33322304686784,0.031,0.0
30,14.940999984741211,-9.979005440218344,0.111,0.0
31,14.571999549865723,-10.065796918642334,0.039,0.0
32,13.720000267028809,-10.823337089528412,0.057,0.0
33,13.720000267028809,-9.682383644717806,0.057,-1.0
34,15.288999557495117,-9.242654455641485,0.105,0.0
35,15.135000228881836,-9.076899961209328,0.046,0.0
36,15.135000228881836,-7.599815436589514,0.046,-1.0
37,14.956999778747559,-9.703471612687476,0.056,0.0
38,13.116999626159668,-11.55471482461618,0.049,0.0
39,14.772000312805176,-10.063155349318793,0.009,0.0
40,14.527000427246094,-9.996354694132283,0.054,0.0
41,15.222999572753906,-9.18858927092074,0.032,0.0
42,14.340999603271484,-10.228931483086072,0.023,0.0
43,15.461000442504883,-9.274110404815461,0.074,0.0
44,15.050999641418457,-9.582190158134678,0.061,0.0
45,15.87600040435791,-8.546934444205798,0.057,0.0
46,15.503000259399414,-9.487974060710535,0.04,0.0
47,13.394000053405762,-11.07679285629385,0.043,0.0
48,13.241000175476074,-11.347813760507346,0.024,0.0
49,11.109000205993652,-13.52990350489464,0.026,-1.0
50,15.282999992370605,-9.376425846486894,0.128,0.0
51,15.371999740600586,-9.554808024939035,0.08,0.0
52,15.104999542236328,-9.588445454721032,0.09,0.0
53,15.805999755859375,-8.989831732015737,0.124,0.0
54,15.215999603271484,-9.64329858563584,0.06,0.0
55,16.111000061035156,-8.976822807474555,0.143,0.0
56,16.266000747680664,-8.501426590516179,0.126,0.0
57,14.333000183105469,-10.322271681595804,0.099,0.0
58,14.093000411987305,-10.58894776453738,0.011,0.0
