,Mreal,Mobs,e_mag,group
0,14.531000137329102,-9.893859632813033,0.039,0.0
1,15.135000228881836,-9.488150357558581,0.04,0.0
2,14.597999572753906,-9.374687693742011,0.016,0.0
3,14.597999572753906,-9.180052350658151,0.016,0.0
4,14.694000244140625,-9.743701784890803,0.041,0.0
5,14.119999885559082,-10.328709593786229,0.009,0.0
6,12.744999885559082,-11.57437910399982,0.02,0.0
7,15.197999954223633,-9.306319173491142,0.038,0.0
8,12.376999855041504,-11.981009274264284,0.017,0.0
9,12.305000305175781,-12.015075785953444,0.005,0.0
10,14.460000038146973,-9.999065218061357,0.026,0.0
11,9.98799991607666,-14.404143718982441,0.062,-1.0
12,13.968999862670898,-10.460404906116551,0.036,0.0
13,13.968000411987305,-10.488169536517486,0.026,0.0
14,14.96399974822998,-9.647000774277917,0.012,0.0
15,13.895999908447266,-10.579998705259277,0.017,0.0
16,14.170000076293945,-10.263940323751381,0.033,0.0
17,13.32699966430664,-10.999059841217578,0.013,0.0
18,15.777999877929688,-8.854519685039346,0.01,0.0
19,14.583999633789062,-9.817786199441791,0.021,0.0
20,13.784000396728516,-10.579800764226716,0.01,0.0
21,15.87399959564209,-9.001427108313125,0.033,0.0
22,14.916999816894531,-9.58357744604564,0.031,0.0
23,15.305999755859375,-9.297967090550019,0.018,0.0
24,16.107999801635742,-8.688031061226468,0.05,0.0
25,11.79699993133545,-12.547555710476267,0.012,-1.0
26,11.645000457763672,-12.689684632111653,0.02,-1.0
27,12.4399995803833,-11.459507080293747,0.065,0.0
28,14.088000297546387,-10.319319441973294,0.021,0.0
29,13.831000328063965,-10.541462135344403,0.062,0.0
30,12.4399995803833,-11.033506878271627,0.065,0.0
31,12.954000473022461,-11.383906514174907,0.009,0.0
32,13.10200023651123,-10.428559202961956,0.013,0.0
33,15.977999687194824,-8.894803459037892,0.081,0.0
34,13.10200023651123,-10.640976644367262,0.013,0.0
35,13.10200023651123,-9.567021669020397,0.013,0.0
36,14.939000129699707,-9.582918698979364,0.047,0.0
37,14.571000099182129,-9.825773116105788,0.021,0.0
38,13.451000213623047,-10.935845074086748,0.009,0.0
39,16.722999572753906,-8.064989993540436,0.016,-1.0
40,13.357000350952148,-11.031253300042707,0.011,0.0
41,13.704999923706055,-10.52704950329164,0.009,0.0
42,13.060999870300293,-11.130162099488166,0.036,0.0
43,15.520999908447266,-9.205630050029757,0.04,0.0
44,13.281000137329102,-11.079406504149015,0.012,0.0
45,13.597000122070312,-10.636718361781208,0.018,0.0
46,14.345999717712402,-9.380862445401926,0.021,0.0
47,14.378000259399414,-10.063514274042076,0.024,0.0
48,14.345999717712402,-9.586671700983578,0.021,0.0
49,10.555999755859375,-13.851479953700066,0.164,-1.0
50,13.432000160217285,-10.888984150692881,0.014,0.0
51,13.142999649047852,-11.12400931006951,0.005,0.0
52,15.310999870300293,-9.18548991117178,0.024,0.0
53,14.616999626159668,-8.563910584601814,0.012,0.0
54,15.388999938964844,-9.089363697068451,0.039,0.0
55,13.524999618530273,-10.778321991799235,0.012,0.0
56,14.331999778747559,-10.113808973259568,0.005,0.0
57,14.616999626159668,-9.54998348205898,0.012,0.0
58,16.042999267578125,-8.936584307638775,0.044,0.0
59,14.87600040435791,-9.264260758135485,0.02,0.0
60,14.939000129699707,-9.634167159118123,0.005,0.0
61,15.821000099182129,-8.804747807296046,0.059,0.0
62,13.343999862670898,-10.932970279583232,0.008,0.0
63,15.786999702453613,-8.820303096588264,0.063,0.0
64,15.017000198364258,-9.341327862846418,0.038,0.0
65,12.833999633789062,-10.845808923740778,0.019,0.0
66,16.261999130249023,-8.59394184765777,0.025,0.0
67,12.833999633789062,-10.725841788594412,0.019,0.0
68,15.35099983215332,-9.169030216042703,0.027,0.0
69,13.779000282287598,-10.476470927250016,0.012,0.0
70,12.3149995803833,-9.006174447288668,0.017,-1.0
71,13.645999908447266,-10.658694658222744,0.011,0.0
72,12.3149995803833,-11.973845191118897,0.017,0.0
73,13.602999687194824,-10.584527569987532,0.012,0.0
74,13.602999687194824,-9.003579675815992,0.012,0.0
75,14.008999824523926,-10.301071461756862,0.025,0.0
76,13.633999824523926,-9.864443073014446,0.024,0.0
77,12.689000129699707,-11.60955874273704,0.006,0.0
78,12.842000007629395,-11.432511596262074,0.016,0.0
79,13.633999824523926,-10.069030108343533,0.024,0.0
80,15.668999671936035,-8.854882887663825,0.036,0.0
81,14.215999603271484,-10.185844771169732,0.036,0.0
82,14.123000144958496,-10.255946304113051,0.024,0.0
83,15.336000442504883,-8.857990682256132,0.146,0.0
84,13.288000106811523,-10.709472400621006,0.01,0.0
85,13.288000106811523,-9.806490921060409,0.01,0.0
86,15.543999671936035,-8.881145588735638,0.041,0.0
87,14.531999588012695,-9.354695420400393,0.031,0.0
88,15.52299976348877,-8.53440706644534,0.049,0.0
89,15.105999946594238,-9.281113170600422,0.009,0.0
90,14.531999588012695,-8.788949796365394,0.031,0.0
91,14.427000045776367,-9.922788301217231,0.013,0.0
92,13.994000434875488,-9.938025485872613,0.128,0.0
93,14.100000381469727,-10.135240724874432,0.014,0.0
94,14.003999710083008,-7.6640949816491535,0.157,-1.0
95,14.519000053405762,-8.751210097768729,0.032,0.0
96,12.652999877929688,-9.874006868116394,0.013,-1.0
97,14.003999710083008,-9.576373377538888,0.157,0.0
98,12.652999877929688,-11.49212586121876,0.013,0.0
99,14.519000053405762,-9.398318641374452,0.032,0.0
100,14.244999885559082,-10.12764007375618,0.023,0.0
101,13.123000144958496,-8.821822816693835,0.006,-1.0
102,13.123000144958496,-11.071910172307035,0.006,0.0
103,14.734999656677246,-9.702066763474786,0.036,0.0
104,13.223999977111816,-9.415362066243443,0.022,0.0
105,13.223999977111816,-11.007907647128372,0.022,0.0
106,15.220000267028809,-8.763218490145741,0.019,0.0
107,15.220000267028809,-8.470362832841738,0.019,0.0
108,14.593000411987305,-9.869517859458192,0.019,0.0
109,13.986000061035156,-9.075081644900191,0.017,0.0
110,13.986000061035156,-8.764502742885771,0.017,0.0
111,13.986000061035156,-9.70263942025992,0.017,0.0
112,13.394000053405762,-10.949560028408804,0.015,0.0
113,14.199999809265137,-10.059663755231682,0.018,0.0
114,13.545000076293945,-10.70998471436182,0.011,0.0
115,15.557999610900879,-8.784598037118359,0.096,0.0
116,14.519000053405762,-8.604186614549842,0.094,0.0
117,14.17199993133545,-10.256669433331666,0.042,0.0
118,14.519000053405762,-8.637306729868875,0.094,0.0
119,14.519000053405762,-9.586381868420958,0.094,0.0
120,14.197999954223633,-10.110550855747142,0.01,0.0
121,14.187999725341797,-10.3604526421176,0.161,0.0
122,15.793999671936035,-8.86061795750685,0.012,0.0
123,12.690999984741211,-9.929344684694923,0.034,-1.0
124,15.354000091552734,-9.119561721879833,0.027,0.0
125,12.690999984741211,-11.436968531239271,0.034,0.0
126,16.12299919128418,-8.66114684939909,0.098,0.0
127,13.625,-10.841221540854049,0.021,0.0
128,14.352999687194824,-9.954248897811855,0.012,0.0
129,14.888999938964844,-9.545736770808217,0.028,0.0
130,16.08300018310547,-8.670661781290635,0.017,0.0
131,14.951000213623047,-9.445447983008835,0.011,0.0
132,15.885000228881836,-8.611346812739388,0.047,0.0
