,Mreal,Mobs,e_mag,group
0,14.244999885559082,-10.062221794221918,0.047,0.0
1,13.682999610900879,-10.650013887852525,0.086,-1.0
2,15.279999732971191,-9.117512848338093,0.081,0.0
3,16.826000213623047,-7.589588098242615,0.106,0.0
4,13.14799976348877,-10.982658375982144,0.05,-1.0
5,13.944999694824219,-10.554105482629838,0.076,-1.0
6,16.398000717163086,-7.889703077268214,0.172,0.0
7,15.708999633789062,-8.589924584011829,0.136,0.0
8,12.520000457763672,-11.740297444288695,0.077,-1.0
9,12.520000457763672,-5.810133743974583,0.077,-1.0
10,14.270000457763672,-10.035848500524034,0.089,0.0
11,14.324999809265137,-9.933769562127871,0.089,0.0
12,16.052000045776367,-6.303541215932558,0.1,1.0
13,14.690999984741211,-5.550564595419413,0.125,-1.0
14,16.187000274658203,-7.94576691882833,0.033,0.0
15,16.113000869750977,-7.991469651184827,0.006,0.0
16,14.690999984741211,-9.818373857781838,0.125,0.0
17,15.722999572753906,-7.49736851164286,0.071,0.0
18,17.56999969482422,-7.024077658932138,0.148,0.0
19,17.22100067138672,-7.377894076744116,0.17,0.0
20,16.017000198364258,-8.470167525191245,0.023,0.0
21,15.307999610900879,-8.960695433873708,0.032,0.0
22,15.253000259399414,-9.144175766943356,0.142,0.0
23,11.642999649047852,-12.571988301666996,0.044,-1.0
24,16.45599937438965,-7.989184719310104,0.111,0.0
25,16.606000900268555,-7.775297680561051,0.11,0.0
26,11.642999649047852,-5.641679885690194,0.044,-1.0
27,16.106000900268555,-8.14955553120359,0.141,0.0
28,15.994999885559082,-8.316179616106009,0.121,0.0
29,15.345000267028809,-8.991249679656034,0.051,0.0
30,16.42300033569336,-7.8353043491648755,0.09,0.0
31,17.31599998474121,-6.483658527468975,0.163,0.0
32,16.009000778198242,-8.613827673790642,0.127,0.0
33,12.043999671936035,-12.205015515308817,0.097,-1.0
34,15.579000473022461,-8.604021698579338,0.142,0.0
35,17.31599998474121,-6.889378770268006,0.163,0.0
36,15.579000473022461,-6.170153700038814,0.142,1.0
37,14.321000099182129,-5.879350028641164,0.051,-1.0
38,14.461999893188477,-9.89420726664972,0.016,0.0
39,14.850000381469727,-9.115883524087739,0.043,0.0
40,15.04800033569336,-7.081602272411668,0.113,-1.0
41,14.531000137329102,-9.728450283966263,0.105,0.0
42,15.067000389099121,-6.793694852467275,0.017,-1.0
43,15.234000205993652,-9.241707647389033,0.195,0.0
44,14.604999542236328,-10.04488018204675,0.058,0.0
45,15.234000205993652,-4.907546899189209,0.195,-1.0
46,14.501999855041504,-9.675386970251532,0.041,0.0
47,16.458999633789062,-8.269965244862703,0.031,0.0
48,16.270999908447266,-6.588240116134402,0.073,1.0
49,16.270999908447266,-7.666421220984421,0.073,0.0
50,14.854000091552734,-7.377472876458957,0.012,-1.0
51,14.854000091552734,-7.731164673219261,0.012,-1.0
52,14.854000091552734,-8.435618846346772,0.012,-1.0
53,15.965999603271484,-5.930569482856759,0.058,1.0
54,14.854000091552734,-3.9284069295298876,0.012,-1.0
55,10.729999542236328,-13.438807565286833,0.071,-1.0
56,15.64799976348877,-8.526133046955156,0.015,0.0
57,10.729999542236328,-7.830929099226961,0.071,-1.0
58,14.765000343322754,-9.322302502222591,0.036,0.0
59,15.800999641418457,-8.562866599086071,0.092,0.0
60,16.530000686645508,-7.625195285317968,0.137,0.0
61,17.16699981689453,-5.561461226316413,0.067,-1.0
62,15.765000343322754,-8.349072011904092,0.058,0.0
63,17.16699981689453,-6.813466370899565,0.067,0.0
64,16.652999877929688,-7.709525385523179,0.112,0.0
65,16.680999755859375,-4.808643737166054,0.008,-1.0
66,16.680999755859375,-7.590881819834751,0.008,0.0
67,14.850000381469727,-6.417984393889375,0.105,-1.0
68,14.850000381469727,-9.399357085831268,0.105,0.0
69,13.298999786376953,-10.962484817025137,0.097,-1.0
70,16.159000396728516,-7.555875083171609,0.021,0.0
71,15.718000411987305,-8.358738787661451,0.092,0.0
72,16.10700035095215,-8.420164425314162,0.037,0.0
73,15.718000411987305,-8.760431989431233,0.056,0.0
74,17.524999618530273,-7.153194905816738,0.08,0.0
75,16.02400016784668,-8.392505651324104,0.05,0.0
76,15.321999549865723,-8.937672571641947,0.104,0.0
77,15.902999877929688,-8.449109065203112,0.131,0.0
