,Mreal,Mobs,e_mag,group
0,13.71500015258789,-10.836111678339734,0.02,0.0
1,13.069999694824219,-11.44067493084969,0.02,0.0
2,14.074000358581543,-10.40823393934052,0.021,0.0
3,15.751999855041504,-8.816256086924735,0.006,0.0
4,12.817000389099121,-11.67904222804882,0.074,0.0
5,12.699999809265137,-11.788971067825491,0.057,0.0
6,15.756999969482422,-8.846412087892146,0.093,0.0
7,14.965999603271484,-9.622745160866113,0.032,0.0
8,11.991999626159668,-12.50213222975921,0.047,-1.0
9,13.539999961853027,-10.944550888201691,0.053,0.0
10,13.786999702453613,-10.733400069389898,0.022,0.0
11,15.331000328063965,-8.985548013207493,0.021,0.0
12,15.206000328063965,-9.115775004366856,0.041,0.0
13,13.32800006866455,-11.093056943802617,0.034,0.0
14,15.206000328063965,-8.705055214347844,0.041,0.0
15,15.784000396728516,-8.929924849964381,0.323,0.0
16,16.67799949645996,-7.799594199603559,0.011,1.0
17,15.04800033569336,-9.459067382255446,0.038,0.0
18,14.625,-9.985148765794825,0.049,0.0
19,14.479000091552734,-10.043059290738409,0.063,0.0
20,11.274999618530273,-13.236869337838925,0.013,-1.0
21,14.967000007629395,-9.41313783443896,0.221,0.0
22,15.744000434875488,-8.801774902583862,0.105,0.0
23,15.486000061035156,-9.062418908150466,0.095,0.0
24,15.236000061035156,-9.296117624420798,0.021,0.0
25,14.501999855041504,-10.039043726863044,0.008,0.0
26,15.838000297546387,-8.703009309673263,0.031,0.0
27,15.333999633789062,-9.054097149445667,0.068,0.0
28,14.52400016784668,-10.027613350720612,0.059,0.0
29,11.699999809265137,-12.79145516842382,0.017,-1.0
30,14.937999725341797,-9.437798947588016,0.068,0.0
31,14.937999725341797,-7.367015427479114,0.068,-1.0
32,13.777000427246094,-7.608371337072769,0.051,-1.0
33,13.772000312805176,-10.705399317675665,0.019,0.0
34,14.432000160217285,-9.906762629143444,0.092,0.0
35,14.366000175476074,-8.043754983878799,0.02,-1.0
36,13.956000328063965,-10.473773531384445,0.047,0.0
37,13.859000205993652,-7.807229733077996,0.033,-1.0
38,13.835000038146973,-10.536964025227515,0.038,0.0
39,12.89900016784668,-11.607995664546877,0.1,0.0
40,14.031999588012695,-10.49360182135499,0.055,0.0
41,14.979999542236328,-9.489242571633229,0.036,0.0
42,15.375,-8.59944047946516,0.13,0.0
43,15.375,-7.154179695766035,0.13,-1.0
44,16.36199951171875,-8.086426030577563,0.011,1.0
45,10.699000358581543,-13.813419199953756,0.05,-1.0
46,15.081000328063965,-9.411534009483239,0.08,0.0
47,14.223999977111816,-10.206954112259059,0.096,0.0
48,15.053999900817871,-9.379439375648758,0.038,0.0
49,15.748000144958496,-8.690422037931643,0.072,0.0
50,15.21399974822998,-9.234032471146367,0.084,0.0
51,16.246000289916992,-8.216096741019497,0.076,1.0
52,15.732000350952148,-8.656063189471812,0.08,0.0
53,15.803000450134277,-8.524182880134623,0.03,0.0
54,15.732000350952148,-7.389325050824431,0.08,-1.0
55,14.196000099182129,-8.577485435771223,0.035,-1.0
56,14.196000099182129,-10.202027633317721,0.035,0.0
57,12.682999610900879,-11.759597162407307,0.031,0.0
58,14.824999809265137,-8.94671653397469,0.17,0.0
59,14.86299991607666,-9.24071902002221,0.08,0.0
60,15.154999732971191,-9.335914412611633,0.038,0.0
61,14.708999633789062,-9.821734801778689,0.03,0.0
62,16.386999130249023,-8.25298169480973,0.021,1.0
63,15.123000144958496,-9.36419728364876,0.059,0.0
64,15.277999877929688,-9.353019155113323,0.111,0.0
65,14.64799976348877,-9.902817859656256,0.077,0.0
