,Vmag,Bmag
0,-8.350476155409591,-2.405299437548624
1,-8.213497576235712,
2,-8.634789416546173,-6.964629148666238
3,-8.82719335962749,-7.274113194758877
4,-9.565481057224348,-8.353052538751186
5,-10.585462688440181,-9.993171965852083
6,-8.788944823552807,-7.250816859534746
7,-10.855323311528897,-10.289049483540314
8,-9.066872247719946,-7.6145790126297985
9,-9.22872736375142,-8.105197949320816
10,-10.077500283936406,-9.356711275152689
11,-9.18808287753645,-8.118646464775228
12,-8.924112953735932,-7.471479147498485
13,-10.070653043315714,-9.300748493832657
14,-8.689070092423103,-7.462023249391654
15,-10.346624370441402,-9.720214544323847
16,-8.862036509397822,-7.735935337431487
17,-9.631210154928771,-8.708713776190766
18,-10.949937228620712,-10.394449173931235
19,-9.198847952301376,-7.835993797178919
20,-8.649913861778055,-7.4644951606981715
21,-9.233483805093465,-8.330042197887561
22,-8.631325685511364,-7.138129689132377
23,-9.957132701278628,-9.173458640350656
24,-11.706334473674014,-11.12241374707377
25,-11.073616063013587,-10.528694045018653
26,-12.480387205713422,-11.540349408373007
27,-10.864667850534717,-10.243817608797094
28,-8.711814551130443,-7.587437902793496
29,-8.989076249189468,-8.061255101983095
30,-9.071469815882857,-7.726526758073265
31,-9.02890505678128,-7.587998262117013
32,-10.808762901222078,-10.17123338500573
33,-8.783928960030046,-7.650568326023732
34,-9.362787713868228,-8.558353569583316
35,-9.859219268384226,-9.059130362662332
36,-9.738788543872236,-8.922417069558808
37,-8.747756406670833,-7.861068248026158
38,-9.056516934133205,-7.9868452191033965
39,-8.969231473467902,-8.062095363710446
40,-8.50702717622042,-7.0451766949705785
41,-9.652436862532154,-8.796366515067312
42,-11.879026464385433,-10.919560650984144
43,-8.863678710186997,-8.159198598019103
44,-8.508027510615573,-7.173752308235091
45,-9.577849069197361,-8.906307653208716
46,-10.97498994712298,-10.400956857327735
47,-8.823670669629976,-7.641454389412813
48,-11.512282375090024,-10.999112550239555
49,-10.205251120686123,-8.821216678247053
50,-8.426958468573787,-7.333937856490502
51,-11.180699015513042,-10.19666019052246
52,-7.825180040296852,-6.974776754574824
53,-9.847390417195376,-9.230644861484237
54,-7.8954499703670695,-7.099653479258624
55,-8.158241611664895,-7.445529028781035
56,-12.365196847627866,-11.4560282213643
57,-10.813043881584205,-10.292005046667708
58,-11.873914494084474,-11.385611284150176
59,-8.797890984607488,-7.5211260841622085
60,-9.330055037793427,-8.716391536880208
61,-9.597256462831702,-8.9604992753857
62,-8.76781858558434,-7.515642944236294
63,-8.432043267148547,-7.636941894560957
64,-11.063984977028902,-10.378504443559837
65,-10.070913502681147,-9.558972796494315
66,-9.96981851058784,-9.30773731080338
67,-8.707412010096071,-7.165777526494813
68,-7.744749902534258,-7.253231805791901
69,-11.413782066464677,-10.920653021178941
70,-9.558200975282015,-8.893788191544724
71,-9.009924734490221,-8.154356745440596
72,-8.879029357202626,-8.14406495335356
73,-9.277487503564192,-8.556660281601594
74,-11.946629422726016,-11.030946439169089
75,-8.606184618842768,-7.12696334669559
76,-12.978838900195113,-12.020069031607708
77,-11.674911650181777,-11.156314962025409
78,-8.2830929462605,-7.525062444164893
79,-10.419440776019051,-9.793936974455947
80,-10.456896750571783,-9.901469679440762
81,-10.086415761022016,-9.475489229100377
82,-8.696365843168504,-7.106459942092399
83,-11.87127740882289,-11.370514089260833
84,-8.291251447025312,-7.012191089536897
85,-8.501636021963563,-7.448807870972595
86,-7.922513179085317,-6.93101523588766
87,-11.859846322153967,-10.85137359810588
88,-10.321537698946848,-9.786309483512861
89,-10.211987500653127,-9.606459440400279
90,-9.370180080276917,-8.577819829885996
91,-8.894056087530448,-7.334455417344163
92,-11.568717301940616,-10.565762341175962
93,-8.92937892557743,-8.200542438574367
94,-9.312170050590227,-8.51464543399481
95,-9.03670271819278,-8.2907648046862
96,-10.446393948415464,-9.422354120974505
97,-9.099967709507059,-8.101135408261511
98,-8.436419851495309,-7.5417686400968
99,-8.409978355737593,-7.586572436705091
100,-10.29105181201837,-9.720795377879995
101,-10.866544770856743,-10.312694992465875
102,-11.366728988801405,-10.863411231723347
103,-11.528845264332455,-10.998877319814762
104,-8.372922053291314,-7.713095615570039
105,-9.49427445405618,-8.865220874012115
106,-11.736307440614018,-11.268465390033104
107,-11.074845721717114,-10.58507716718508
108,-7.76347495247717,-7.131212026984847
109,-8.906321664112468,-8.355993592564307
110,-8.244547215938777,-7.605534174517084
111,-7.504700065742779,-6.922583261840897
112,-8.184684046959571,-7.057110937069702
113,-11.877227716243777,-10.968659615819245
114,-7.765216314619645,-7.313643302867091
115,-10.951699765242513,-10.305157229937693
