,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
0,103.01035528135,2.75672928404,0.0955,0.0958,0.8016214300863278
6,103.07907685984,2.76889362289,0.2677,0.2831,1.0
10,103.05793877752,2.7619407959,0.0829,0.087,0.8546718595366911
12,103.05771370961,2.76138676544,0.3157,0.3203,1.0
13,103.08163862021,2.76608360685,0.0636,0.0645,0.9892159321761382
15,103.03051520796,2.76452190003,0.0537,0.0559,0.9659043503174248
28,103.02120961049,2.77228937619,0.0231,0.023,0.7143959477223248
30,103.03131010997,2.77215105679,0.5369,0.545,0.9087238666586439
34,103.04122780398,2.78818747361,0.0276,0.0279,0.9085587419750638
39,103.0607900648,2.77061033938,0.1419,0.1461,0.8149988476651376
46,103.05573339659,2.76765949937,0.1747,0.1789,0.8486006932026324
47,103.0528684718,2.77761661996,0.3633,0.3626,0.8520258758282585
49,103.05800498525,2.78314299297,0.2622,0.2577,0.6902324826546743
51,103.0374515231,2.78618678732,0.0292,0.0292,1.0
53,103.04981621383,2.77997560605,0.5558,0.5541,0.9028582082016776
64,103.05897052925,2.78974967135,0.2101,0.2049,0.7781504770788494
66,103.04490480656,2.78897752495,0.5964,0.5662,0.7613454080512012
71,102.99515755749,2.76632692422,0.0601,0.0591,0.7945397111708883
72,103.00693298525,2.76081879897,0.03,0.03,1.0
73,102.98899658605,2.77484198743,0.1884,0.1896,0.767131238906843
78,102.99130506237,2.7674400992,0.4153,0.4042,0.9314943271366024
82,102.99162076159,2.76824371733,0.2202,0.2132,0.9489341227067918
85,102.9583481597,2.77735611712,0.7143,0.7226,0.8247412270700234
91,102.94712098027,2.78223337772,0.0606,0.0521,1.0
102,102.96334106836,2.79189266549,0.28,0.2765,0.9153277753561736
105,102.98110538365,2.78410450188,0.0438,0.0433,0.8811165582478401
107,102.96393520835,2.79474137521,0.1541,0.1492,0.7199688064824387
108,102.97591820946,2.77301498975,0.0529,0.0526,1.0
114,103.01567361095,2.77191156621,0.0993,0.0986,0.807000254725485
120,103.00269475612,2.78649393032,0.3049,0.3045,0.773519355904156
121,103.0034474652,2.76872363163,0.211,0.2298,0.7035383315223163
128,103.01350200837,2.7787392449,0.1235,0.1239,0.7478839778707683
133,103.01706812209,2.78807718001,0.1892,0.173,0.8483075667473902
134,103.00575761309,2.78855725373,0.2563,0.2535,0.910544225734255
135,102.99953229558,2.78850809406,0.4856,0.4824,0.8324211390359256
142,103.01638350699,2.80117662377,0.286,0.286,0.854740656813079
151,103.02009230581,2.80772349594,0.3511,0.344,0.8618082254995546
152,103.02378411763,2.8071806437,0.1568,0.1557,1.0
156,103.03740828897,2.78999529311,0.3712,0.3642,0.9336332937827542
159,103.02308376141,2.79246984528,0.1452,0.1346,0.9069484213473014
175,102.98922137276,2.78317504009,0.2075,0.2058,1.0
176,102.97849576193,2.79228170373,0.0323,0.0341,1.0
178,102.98847135929,2.79243334735,0.2596,0.2584,0.9044632834510368
180,102.99733081926,2.79519757942,0.4385,0.4363,1.0
183,102.99673763754,2.80575576641,0.2034,0.2007,0.8937786885280979
187,102.99976823645,2.79653392197,0.2437,0.2415,0.7150498194994784
188,102.99567145321,2.79489950547,0.1299,0.1282,0.8012402260480648
193,103.00099781655,2.81291229862,0.0664,0.0658,1.0
194,103.01079211611,2.8259428046,0.492,0.5364,0.8206256757807918
197,103.00746372835,2.80256001545,0.1068,0.105,1.0
198,103.00889579097,2.80153167874,0.3344,0.3363,0.9287181747780197
199,103.0148358428,2.82052240897,0.0525,0.052,1.0
200,102.99818639843,2.82245309682,0.1103,0.106,0.8666233624410614
202,103.01962668955,2.81938104371,0.0526,0.0518,0.8187559755931351
205,103.01868211678,2.81014788722,0.2247,0.2184,0.7596819918749369
213,102.99910035819,2.81059553973,0.0739,0.0726,0.8275673314456505
214,102.99161768528,2.82116345726,0.1972,0.1899,0.7785310534449559
215,103.02368502551,2.81566004791,0.4461,0.4422,0.8659538177476143
217,103.00631091539,2.82389554844,0.0664,0.0686,0.8495738850383381
219,103.00404728259,2.82760881887,0.3267,0.3137,0.9429415716235972
222,103.0982923903,2.77451060696,0.134,0.1313,0.9208983671025505
224,103.09226224594,2.79194527879,0.0361,0.0371,1.0
226,103.10063964459,2.77335197281,0.1035,0.0987,1.0
232,103.09800078512,2.78263197871,0.0902,0.0894,1.0
237,103.1033702679,2.77371350999,0.1598,0.1544,0.7936144173016586
238,103.10537375368,2.77915344345,0.0214,0.0209,0.890353848687489
250,103.10942127552,2.7913303177,0.085,0.0912,0.8919196511587595
253,103.1191292643,2.78756529482,0.1847,0.1824,0.7229360559267365
255,103.11993442925,2.79187785512,0.2339,0.2274,0.8603261592249771
256,103.10881461912,2.79050010135,0.1544,0.164,1.0
257,103.10017310061,2.79637643009,0.0612,0.063,0.8859776529424773
260,103.12272289037,2.79750121495,0.1021,0.0988,0.9952802011321579
262,103.12562205002,2.80769063133,0.2544,0.2656,0.7621688626289986
270,103.07823623341,2.78423007463,0.127,0.1328,0.8027785149082645
274,103.08092741034,2.80054325053,0.0589,0.0592,0.9284801297837819
280,103.08219058272,2.79895941321,0.1076,0.1072,1.0
288,103.09627602583,2.83304855084,0.1377,0.1348,0.8497044352007904
291,103.09094727254,2.83197897953,0.1206,0.1173,0.9752804721875179
292,103.09522889214,2.8005897569,0.1029,0.1042,1.0
293,103.09638085823,2.81874255782,0.6239,0.6007,0.7573720972041166
302,103.09980206294,2.82904298437,0.2444,0.2384,0.9628956136288335
310,103.09961643898,2.83132261144,0.1359,0.1319,1.0
311,103.09311996516,2.82530033984,0.1648,0.1611,0.7599476652495814
314,103.13865314006,2.8118266345,0.1615,0.1585,0.9225091886031719
315,103.14027330326,2.82287644177,0.0652,0.0708,1.0
319,103.12603431544,2.82350331589,0.1784,0.1763,1.0
322,103.14787523086,2.81818829414,0.1581,0.1551,0.9665741759380071
329,103.15167108016,2.82079611345,0.1757,0.1747,0.8149106880175256
335,103.14227239975,2.83010103936,0.0561,0.0544,0.7453294651289046
342,103.16971217698,2.83913804251,0.5048,0.4767,0.7826790312004752
346,103.1546309489,2.82661234667,0.0423,0.0414,1.0
347,103.15475629515,2.84649458411,0.0573,0.0581,1.0
350,103.15874494621,2.85116714466,0.1091,0.1074,1.0
353,103.15972676207,2.82832554213,0.6196,0.6111,0.7173533090872977
354,103.14827038326,2.83217042284,0.6593,0.6074,1.0
355,103.14880291438,2.83216180301,0.5996,0.5496,1.0
358,103.15625129417,2.8474639658,0.5629,0.6263,0.8489548844423014
369,103.11939055863,2.83492385293,0.4448,0.4208,0.7840263778784541
373,103.11042007426,2.83041574574,0.1478,0.1463,0.9184675762097188
375,103.10906000527,2.82570243076,0.1421,0.1374,0.9535238190800547
379,103.10579257452,2.83868430554,0.0292,0.0288,1.0
383,103.11335279141,2.8498354176,0.6827,0.7374,0.9036173558684286
384,103.12807039556,2.8403489278,0.0804,0.0792,0.8421385087552303
386,103.13725995074,2.83491644475,0.107,0.108,0.8727157436918008
393,103.14393783636,2.84226319245,0.1168,0.116,1.0
396,103.14849090339,2.86437530957,0.1985,0.1895,0.8953628835637061
397,103.13322054819,2.86339949384,0.4498,0.4293,0.8108955831513472
399,103.13950519394,2.84846853158,0.2323,0.2256,0.7654877758251022
404,103.13635030369,2.85332749794,0.0573,0.0563,0.8117319774393105
420,103.14146956164,2.84847128463,0.1174,0.1149,0.8239363016821042
424,103.1462707176,2.85399944849,0.2078,0.2018,1.0
427,103.04454069699,2.81185217752,0.1777,0.1637,0.7602832871777813
437,103.04089648842,2.81481733877,0.5176,0.522,0.8309181289315802
439,103.04309326929,2.82040843251,0.0885,0.0849,0.7929296983684603
441,103.06463762945,2.81711945025,0.0782,0.0775,0.8864676821877745
442,103.05233036087,2.82156419511,0.0767,0.0762,0.9752804721875179
450,103.04577864403,2.82158938827,0.3223,0.3165,0.744778148790634
453,103.04300238622,2.81097061415,0.1036,0.0969,1.0
461,103.06306362891,2.83486364388,0.2598,0.2579,0.7904966850478907
469,103.05866292685,2.83764241778,0.0936,0.0921,0.8668314920808519
470,103.07519672591,2.84869600479,0.6864,0.7504,0.6983823977705156
488,103.03700932609,2.83758500253,0.4531,0.4783,1.0
490,103.02822538759,2.83498633303,0.1135,0.1123,1.0
494,103.02344141735,2.84579007391,0.0571,0.0553,1.0
495,103.02212049493,2.83211122758,0.0446,0.0441,1.0
497,103.01913550464,2.82935544445,0.0991,0.1021,0.6999419684665154
499,103.04464103998,2.83037813671,0.1334,0.1315,1.0
501,103.04514160508,2.84045515305,0.0358,0.0355,0.9559792322135401
504,103.04591443778,2.83183504204,0.4827,0.4861,0.9382202767601223
505,103.03194779453,2.83166412901,0.4082,0.433,0.7155562027830499
506,103.03158156527,2.84483040632,0.3404,0.3448,1.0
509,103.04273333641,2.85686738132,0.3008,0.2921,0.7659402216989589
510,103.0500909723,2.84217928906,0.2524,0.2498,1.0
511,103.05174810299,2.83823094319,0.1522,0.1495,1.0
515,103.06797961296,2.85687057805,0.2138,0.2091,0.7536679195744003
517,103.05811743244,2.85546703423,0.4807,0.4703,0.6911800398155377
521,103.03678962717,2.85956315002,0.0384,0.0392,0.9941085635216241
522,103.0518123459,2.86424400295,0.5934,0.6064,1.0
529,103.03899065066,2.85673198678,0.2064,0.1989,0.9336332937827542
530,103.04183442481,2.85330368408,0.0798,0.0768,0.8657827929117875
531,103.05818608796,2.84682082729,0.4793,0.4644,0.8653355403128666
534,103.0559921435,2.86689824674,0.0702,0.0672,0.8518350146879572
540,103.04867245462,2.86935854934,0.1582,0.1616,1.0
544,103.09876261504,2.86610765556,0.0442,0.0442,0.757101246149785
547,103.10646345454,2.86145346456,0.1682,0.1653,1.0
548,103.08649851477,2.85349672953,0.2192,0.2139,1.0
549,103.08471021334,2.85849379765,0.2405,0.2336,0.910544225734255
557,103.10280829432,2.85766597567,0.7924,0.7586,0.8309181289315802
561,103.08463398628,2.85209502614,0.5508,0.5276,0.8309181289315802
562,103.08958842713,2.8505018434,0.0376,0.0377,1.0
564,103.09174670395,2.83960044414,0.0329,0.0327,1.0
566,103.10876759746,2.88124340245,0.0788,0.0761,0.9038640181050825
569,103.12803699418,2.87200982356,0.102,0.0936,0.816988754198877
572,103.12206488759,2.88485606044,0.1842,0.1744,0.908658217743576
581,103.13141724948,2.87826216948,0.1535,0.1584,0.894383611331658
585,103.10740109196,2.87030229826,0.1379,0.1267,0.8036105979123243
586,103.1054050665,2.87751339115,0.1771,0.1853,0.7694605246259029
588,103.13273770736,2.86898188796,0.3331,0.3168,1.0
