,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
96,102.32331458804,0.27328554999,0.1173,0.1149,0.9362419413138082
208,102.17145382521,0.24206937669,0.5081,0.6711,0.9453439743585241
216,102.14113270469,0.24568418382,0.1215,0.1276,0.9766796636852122
236,102.154025312,0.27555650207,0.4906,0.533,0.9225327602356903
260,102.13729279847,0.26707981175,0.0216,0.022,0.9763733874775266
301,102.14827366264,0.27847502732,0.1213,0.1293,0.8735292594855762
302,102.1331614824,0.28523956448,0.4862,0.5376,0.9304519704657344
536,102.18327885524,0.28534325112,0.0655,0.0676,1.0
899,102.11500027681,0.34450894011,0.4343,0.5056,0.8996329320971505
964,102.16852987792,0.35722296937,0.0342,0.0338,0.9060947232277891
1193,102.07265885663,0.36857233933,0.1524,0.1788,0.8996329320971505
1197,102.06298220773,0.35691606745,0.1871,0.2144,0.8996329320971505
1252,102.07571518663,0.39016803176,0.2027,0.2334,0.9107394025947413
1275,102.13760519652,0.38572319129,0.1842,0.2099,0.8647475466292686
1355,102.13094802821,0.4440027193,0.2733,0.3071,0.8728806257810806
1494,102.08293671627,0.46851708322,0.4387,0.4573,0.9453439743585241
1590,102.32930701397,0.31828385882,0.1513,0.1466,0.9453439743585241
1731,102.28629702973,0.33379275716,0.146,0.1465,0.9373238721953856
1907,102.33560107218,0.39539586852,0.2143,0.208,1.0
1917,102.36428163524,0.39181714519,0.504,0.5329,0.854410916831938
2058,102.28810833669,0.39272239029,0.2773,0.2773,1.0
2179,102.36963915192,0.42133894429,0.2139,0.2134,0.9453439743585241
2340,102.3555266296,0.48487324621,0.0942,0.0954,0.8525018159997535
2391,102.23730266104,0.42546460704,0.1093,0.1071,0.8647475466292686
2421,102.19333110262,0.39561829253,0.2068,0.2098,1.0
2597,102.18530297535,0.43565397086,0.0462,0.0515,1.0
2794,102.22169244169,0.50455546547,0.063,0.0566,0.9453439743585241
2819,102.31354080885,0.47503425368,0.3398,0.3477,0.9453439743585241
2820,102.3013294486,0.45245105909,0.6588,0.6247,0.9436596021774394
2887,102.28628487561,0.46945823915,0.104,0.1141,0.8826628072327838
3056,102.25003899891,0.54185659293,0.5207,0.5377,1.0
3112,102.11669361005,0.46626768332,0.1177,0.1246,0.8951517965275662
3141,102.14360114452,0.47814039452,0.3892,0.4225,1.0
3148,102.16248149559,0.47647534975,0.4585,0.4405,0.8686199126104484
3176,102.12828290966,0.49759641565,0.2881,0.282,0.8859277414864024
3252,102.18703576171,0.51563777453,0.0925,0.0852,1.0
3256,102.19320783819,0.53457212122,0.4967,0.4002,1.0
3294,102.23469525563,0.54081498506,0.2458,0.244,0.8586499749451737
