,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
1,109.2320139733,13.61501556351,0.0213,0.0191,0.6531908945074281
7,109.24734634216,13.62491269073,0.2255,0.199,0.6836319363953943
9,109.25637823343,13.61969563443,0.1186,0.1116,0.9876626457104988
10,109.26580971714,13.61310895519,0.5702,0.4927,1.0
19,109.21101247537,13.61119361497,0.1659,0.1465,0.7661599204928699
23,109.20784976745,13.62659979987,0.0809,0.0764,0.9206554770077524
24,109.21437248993,13.61379765972,0.3513,0.2981,0.7093110381830974
30,109.23918188992,13.63863026242,0.3226,0.2796,0.9102141088383193
37,109.24106613097,13.628344141,0.1835,0.1707,1.0
38,109.24084904037,13.63646539003,0.0498,0.054,0.628309482039762
40,109.21109666696,13.6311162732,0.5759,0.5547,0.9154600723302135
41,109.22866490971,13.62198113257,0.1293,0.1185,0.9982062401382898
42,109.22858389204,13.62841714675,0.1059,0.0951,0.961116580429722
45,109.18394960479,13.63818480641,0.3361,0.3072,0.8687138596283153
47,109.17940941547,13.64581551676,0.1171,0.1001,0.712742209515237
50,109.18769466852,13.63061172864,0.1537,0.1323,1.0
53,109.19414108201,13.63779714611,0.0546,0.0444,0.7504163073133974
54,109.19328127174,13.63462916758,0.0989,0.0886,0.7285901442908301
58,109.19245358574,13.6552546274,0.1523,0.1298,0.7615165598488719
62,109.20297298501,13.63624145634,0.4447,0.3709,0.6969403194631645
63,109.20247931303,13.64191297362,0.447,0.3835,0.8387547443572663
64,109.20514685913,13.65404743195,0.3167,0.2651,0.9898147837277461
68,109.19651926757,13.65489479563,0.1588,0.1418,1.0
72,109.19891786429,13.65734286536,0.1459,0.1275,0.813796716718285
73,109.19325226488,13.65323073003,0.1083,0.0937,0.7842067719203283
79,109.13669029864,13.65188540963,0.1413,0.1171,0.7478411969788754
81,109.1231703667,13.65759764713,0.2253,0.1692,0.9375657227412165
85,109.14557221173,13.65284986762,0.1671,0.1431,0.6946459674432044
94,109.15467544736,13.65819538294,0.5251,0.4264,0.8332479176731983
