
UBV CCD observations


  No    Ref    V       B-V     U-B

 0001   562  11.608   0.408  -0.477
 0002   562  12.241   0.637  -0.269
 0003   562  12.247   1.392   0.920
 0004   562  12.542   0.465  -0.389
 0005   562  12.641   0.617   0.310
 0006   562  12.671   0.507  -0.186
 0007   562  12.717   0.611  -0.223
 0008   562  12.784   0.600  -0.297
 0009   562  12.881   0.580  -0.205
 0010   562  12.918   0.677   0.162
 0011   562  13.181   0.684   0.576
 0012   562  13.230   0.635   0.344
 0014   562  13.292   1.987   2.256
 0015   562  13.339   1.464   0.884
 0016   562  13.467   0.831   0.646
 0017   562  13.640   1.435   0.432
 0018   562  13.798   0.855   0.301
 0019   562  13.840   0.601  -0.115
 0020   562  13.848   1.488   0.807
 0021   562  13.897   1.451   0.636
 0022   562  13.910   0.920   0.173
 0023   562  13.917   1.504   0.915
 0024   562  13.943   0.567   0.565
 0025   562  13.995   0.835   0.125
 0027   562  14.024   0.594  -0.094
 0028   562  14.160   0.895   0.406
 0029   562  14.192   0.864   0.557
 0030   562  14.216   0.558  -0.106
 0031   562  14.258   0.801   0.291
 0032   562  14.259   0.935   0.541
 0033   562  14.288   1.118   0.659
 0034   562  14.298   0.680   0.435
 0035   562  14.307   0.605  -0.094
 0036   562  14.309   0.922   0.444
 0037   562  14.337   1.214   0.514
 0038   562  14.366   1.580   1.124
 0039   562  14.386   0.696   0.180
 0040   562  14.398   0.973   0.382
 0041   562  14.432   1.537   1.006
 0042   562  14.489   1.597   1.360
 0043   562  14.523   1.579   1.160
 0044   562  14.529   1.188   0.512
 0045   562  14.537   0.963   0.343
 0046   562  14.674   1.483   0.997
 0047   562  14.680   0.925   0.213
 0048   562  14.682   0.618  -0.023
 0049   562  14.691   0.886   0.292
 0050   562  14.712   0.794   0.146
 0051   562  14.720   2.010   2.024
 0052   562  14.721   1.029   0.700
 0053   562  14.738   0.933   0.460
 0054   562  14.764   0.670   0.381
 0055   562  14.785   1.303   1.077
 0056   562  14.786   1.332   0.799
 0057   562  14.794   0.927   0.224
 0058   562  14.868   1.101   0.389
 0059   562  14.872   0.812   0.420
 0060   562  14.893   0.920   0.583
 0061   562  14.895   2.330         
 0062   562  14.910   1.750   1.501
 0063   562  14.999   1.073   0.389
 0064   562  15.014   0.707   0.528
 0065   562  15.033   0.956   0.437
 0066   562  15.038   1.060   0.290
 0067   562  15.039   1.099   0.675
 0068   562  15.082   0.888   0.499
 0069   562  15.095   1.021   0.310
 0070   562  15.104   0.709   0.488
 0071   562  15.128   0.593   0.276
 0072   562  15.153   2.272   2.528
 0073   562  15.158   1.029   0.341
 0074   562  15.160   2.582         
 0075   562  15.168   1.885   1.796
 0076   562  15.170   2.423         
 0077   562  15.197   0.835   0.467
 0078   562  15.262   0.607         
 0080   562  15.309   0.995   0.286
 0081   562  15.354   0.825   0.507
 0082   562  15.361   1.048   0.279
 0083   562  15.380   0.988   0.257
 0084   562  15.384   0.766   0.664
 0085   562  15.424   1.067   0.374
 0086   562  15.428   0.723   0.394
 0087   562  15.499   1.041   0.319
 0088   562  15.519   0.928   0.689
 0089   562  15.547   1.677   1.757
 0090   562  15.548   0.570   0.168
 0091   562  15.571   0.944   0.439
 0093   562  15.601   1.043   0.269
 0094   562  15.607   0.793   0.339
 0095   562  15.611   1.273   0.692
 0096   562  15.612   1.279   0.879
 0097   562  15.613   0.837   0.466
 0099   562  15.631   1.080   0.477
 0100   562  15.647   1.247   0.781
 0101   562  15.650   0.989   0.289
 0102   562  15.657   1.036   0.324
 0103   562  15.674   1.716   1.509
 0104   562  15.691   0.977   0.090
 0105   562  15.696   1.216   0.485
 0107   562  15.716   0.802   0.317
 0108   562  15.727   2.607         
 0109   562  15.727   1.647   1.044
 0110   562  15.755   1.102   0.372
