,RA,DEC,mag_B,emag_B,mag_V,emag_V,mag_BV,emag_BV
1,102.2901,0.4598,15.185,0.1492,12.420,0.3868,0.142,0.2928
2,102.2691,0.4576,16.705,0.1523,13.484,0.3836,0.597,0.2903
3,102.2682,0.4559,17.453,0.1585,13.930,0.3829,0.899,0.2926
4,102.1521,0.4502,17.539,0.1595,13.683,0.3832,1.231,0.2936
5,102.1571,0.4481,15.259,0.1492,12.545,0.3863,0.090,0.2922
6,102.2843,0.4495,12.280,0.1615,9.724,0.4009,-0.068,0.3173
7,102.1902,0.4473,17.816,0.1631,14.441,0.3826,0.751,0.2948
8,102.1941,0.4460,16.002,0.1496,13.247,0.3841,0.131,0.2896
9,102.1763,0.4456,13.510,0.1545,10.729,0.3948,0.157,0.3060
10,102.1694,0.4434,18.388,0.1731,14.426,0.3826,1.338,0.3005
11,102.1721,0.4421,17.773,0.1625,14.265,0.3827,0.884,0.2945
12,102.2899,0.4419,18.095,0.1675,13.984,0.3828,1.487,0.2976
13,102.2405,0.4399,16.814,0.1530,13.919,0.3829,0.270,0.2897
14,102.1759,0.4372,18.254,0.1705,14.669,0.3828,0.961,0.2991
15,102.2457,0.4376,16.392,0.1508,13.056,0.3847,0.712,0.2909
16,102.1853,0.4357,17.373,0.1577,14.220,0.3827,0.529,0.2919
17,102.2855,0.4370,15.312,0.1491,12.565,0.3862,0.122,0.2921
18,102.1784,0.4347,16.091,0.1498,12.936,0.3850,0.531,0.2908
19,102.1679,0.4336,18.337,0.1721,14.335,0.3826,1.378,0.2999
20,102.1786,0.4337,15.484,0.1491,12.638,0.3860,0.222,0.2917
21,102.1625,0.4326,17.482,0.1589,14.341,0.3826,0.518,0.2925
22,102.1708,0.4325,14.624,0.1503,11.573,0.3904,0.427,0.2982
23,102.2565,0.4326,15.423,0.1491,12.765,0.3855,0.034,0.2912
24,102.1838,0.4278,17.137,0.1554,14.284,0.3827,0.228,0.2906
25,102.1817,0.4272,14.318,0.1512,11.879,0.3890,-0.184,0.2968
26,102.2368,0.4277,17.524,0.1593,14.037,0.3828,0.863,0.2929
27,102.2503,0.4266,15.721,0.1492,12.782,0.3855,0.315,0.2911
28,102.1834,0.4247,17.423,0.1582,14.468,0.3827,0.331,0.2921
29,102.1755,0.4224,18.277,0.1709,14.788,0.3829,0.866,0.2995
