Cluster,_RA,_DEC,,,,,,,
Blanco 1,1.02917,-29.83333,,,,,,,
NGC 188,12.10833,85.255,,,,,,,
NGC 188,12.10833,85.255,,,,,,,
NGC 188,12.10833,85.255,,,,,,,
NGC 752,29.42083,37.785,,,,,,,
IC 1805,38.175,61.45,,,,,,,
NGC 1039,40.52083,42.76167,,,,,,,
NGC 1039,40.52083,42.76167,,,,,,,
NGC 1896,81.425,29.3,,,,,,,
NGC 1996,84.5,25.76667,,,,,,,
NGC 2143,90.775,5.76667,,,,,,,
NGC 2180,92.45,4.80667,,,,,,,
NGC 2180,92.45,4.80667,,,,,,,
NGC 2184,92.8,-3.43333,,,,,,,
NGC 2184,92.8,-3.43333,,,,,,,
NGC 2192,93.82,39.868,,,,,,,
NGC 2204,93.8875,-18.665,,,,,,,
NGC 2243,97.39167,-31.28333,,,,,,,
NGC 2243,97.39167,-31.28333,,,,,,,
NGC 2240,98.29167,35.25,,,,,,,
NGC 2240,98.29167,35.25,,,,,,,
NGC 2240,98.29167,35.25,,,,,,,
NGC 2251,98.65833,8.36667,,,,,,,
NGC 2251,98.65833,8.36667,,,,,,,
NGC 2251,98.65833,8.36667,,,,,,,
NGC 2252,98.75458,5.42039,,,,,,,
NGC 2252,98.75458,5.42039,,,,,,,
NGC 2252,98.75458,5.42039,,,,,,,
NGC 2270,100.9875,3.47833,,,,,,,
NGC 2270,100.9875,3.47833,,,,,,,
NGC 2270,100.9875,3.47833,,,,,,,
NGC 2287,101.50417,-20.75667,,,,,,,
NGC 2281,102.07083,41.07833,,,,,,,
NGC 2281,102.07083,41.07833,,,,,,,
NGC 2281,102.07083,41.07833,,,,,,,
Berkeley 75,102.25417,-23.99667,,,,,,,
Berkeley 75,102.25417,-23.99667,,,,,,,
NGC 2301,102.9375,0.46,,,,,,,
Berkeley 29,103.2675,16.9275,,,,,,,
Berkeley 29,103.2675,16.9275,,,,,,,
Berkeley 29,103.2675,16.9275,,,,,,,
NGC 2306,103.605,-7.205,,,,,,,
NGC 2306,103.605,-7.205,,,,,,,
NGC 2304,103.75375,18.02056,,,,,,,
NGC 2304,103.75375,18.02056,,,,,,,
NGC 2304,103.75375,18.02056,,,,,,,
Berkeley 31,104.4,8.26667,,,,,,,
NGC 2319,105.18247,3.03165,,,,,,,
NGC 2319,105.18247,3.03165,,,,,,,
NGC 2319,105.18247,3.03165,,,,,,,
Tombaugh 2,105.77083,-20.81667,,,,,,,
NGC 2343,107.025,-10.61667,,,,,,,
NGC 2343,107.025,-10.61667,,,,,,,
NGC 2358,109.225,-17.15,,,,,,,
NGC 2355,109.24583,13.75,,,,,,,
NGC 2355,109.24583,13.75,,,,,,,
NGC 2355,109.24583,13.75,,,,,,,
NGC 2360,109.42917,-15.64167,,,,,,,
NGC 2360,109.42917,-15.64167,,,,,,,
NGC 2367,110.025,-21.88167,,,,,,,
Berkeley 37,110.078,-0.994,,,,,,,
Berkeley 37,110.078,-0.994,,,,,,,
Berkeley 37,110.078,-0.994,,,,,,,
Saurer 1,110.225,1.8,,,,,,,
NGC 2374,110.98333,-13.26333,,,,,,,
NGC 2374,110.98333,-13.26333,,,,,,,
NGC 2374,110.98333,-13.26333,,,,,,,
Melotte 66,111.59583,-47.66667,,,,,,,
NGC 2395,111.774,13.584,,,,,,,
NGC 2395,111.774,13.584,,,,,,,
NGC 2396,112,-11.71667,,,,,,,
NGC 2396,112,-11.71667,,,,,,,
NGC 2422,114.14583,-14.48333,,,,,,,
NGC 2423,114.275,-13.87167,,,,,,,
NGC 2423,114.275,-13.87167,,,,,,,
NGC 2420,114.59583,21.57333,,,,,,,
NGC 2420,114.59583,21.57333,,,,,,,
NGC 2428,114.85,-16.53333,,,,,,,
NGC 2428,114.85,-16.53333,,,,,,,
NGC 2428,114.85,-16.53333,,,,,,,
NGC 2430,114.9,-16.35,,,,,,,
NGC 2430,114.9,-16.35,,,,,,,
NGC 2430,114.9,-16.35,,,,,,,
NGC 2430,114.9,-16.35,,,,,,,
NGC 2437,115.44167,-14.81,,,,,,,
NGC 2437,115.44167,-14.81,,,,,,,
NGC 2451A,115.8,-38.4,,,,,,,
NGC 2451A,115.8,-38.4,,,,,,,
NGC 2451A,115.8,-38.4,,,,,,,
NGC 2447,116.125,-23.85667,,,,,,,
NGC 2447,116.125,-23.85667,,,,,,,
Berkeley 39,116.675,-4.6,,,,,,,
Berkeley 39,116.675,-4.6,,,,,,,
Berkeley 39,116.675,-4.6,,,,,,,
NGC 2477,118.04167,-38.53,,,,,,,
ESO 123-26,118.05,-60.36667,,,,,,,
NGC 2479,118.775,-17.71667,,,,,,,
NGC 2479,118.775,-17.71667,,,,,,,
NGC 2482,118.8,-24.25833,,,,,,,
NGC 2482,118.8,-24.25833,,,,,,,
NGC 2506,120.00417,-10.77,,,,,,,
NGC 2509,120.175,-19.06667,,,,,,,
NGC 2509,120.175,-19.06667,,,,,,,
NGC 2527,121.24167,-28.14667,,,,,,,
NGC 2539,122.65417,-12.81833,,,,,,,
NGC 2533,121.76667,-29.88333,,,,,,,
NGC 2533,121.76667,-29.88333,,,,,,,
NGC 2546,123.0625,-37.595,,,,,,,
NGC 2546,123.0625,-37.595,,,,,,,
NGC 2546,123.0625,-37.595,,,,,,,
NGC 2546,123.0625,-37.595,,,,,,,
NGC 2548,123.42917,-5.75,,,,,,,
NGC 2567,124.63333,-30.64,,,,,,,
NGC 2567,124.63333,-30.64,,,,,,,
NGC 2571,124.73333,-29.75,,,,,,,
NGC 2627,129.3125,-29.955,,,,,,,
NGC 2627,129.3125,-29.955,,,,,,,
NGC 2658,130.875,-32.665,,,,,,,
NGC 2669,131.59167,-52.94833,,,,,,,
NGC 2682,132.825,11.8,,,,,,,
NGC 2682,132.825,11.8,,,,,,,
NGC 2682,132.825,11.8,,,,,,,
NGC 2682,132.825,11.8,,,,,,,
NGC 2682,132.825,11.8,,,,,,,
NGC 2818,139.0062,-36.62709,,,,,,,
NGC 2866,140.529,-51.1,,,,,,,
NGC 2925,143.29583,-53.39833,,,,,,,
NGC 3114,150.65,-60.12,,,,,,,
NGC 3228,155.34167,-51.72833,,,,,,,
Westerlund 2,155.99208,-57.76361,,,,,,,
Collinder 220,156.465,-57.915,,,,,,,
Collinder 220,156.465,-57.915,,,,,,,
Collinder 220,156.465,-57.915,,,,,,,
Collinder 220,156.465,-57.915,,,,,,,
Ruprecht 162,163.207,-62.305,,,,,,,
ASCC 63,163.96667,-60.41,,,,,,,
Shorlin 2,,,,,,,,,
Loden 306,166.53333,-61.1,,,,,,,
Loden 306,166.53333,-61.1,,,,,,,
NGC 3603,168.8275,-61.25722,,,,,,,
NGC 3680,171.40833,-43.24333,,,,,,,
Loden 372,172.725,-58.48,,,,,,,
Hogg 16,202.325,-61.2,,,,,,,
Hogg 16,202.325,-61.2,,,,,,,
Lynga 2,216.08792,-61.3225,,,,,,,
Lynga 2,216.08792,-61.3225,,,,,,,
Lynga 2,216.08792,-61.3225,,,,,,,
Lynga 2,216.08792,-61.3225,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Ruprecht 115,243.24,-52.427,,,,,,,
Pismis 22,243.555,-51.865,,,,,,,
Pismis 22,243.555,-51.865,,,,,,,
Pismis 22,243.555,-51.865,,,,,,,
Pismis 22,243.555,-51.865,,,,,,,
Westerlund 1,251.76667,-45.85136,,,,,,,
Westerlund 1,251.76667,-45.85136,,,,,,,
Westerlund 1,251.76667,-45.85136,,,,,,,
Havlen-Moffat 1,259.725,-38.817,,,,,,,
NGC 6400,265.05,-36.945,,,,,,,
NGC 6400,265.05,-36.945,,,,,,,
Ruprecht 131,267.3,-29.25,,,,,,,
Ruprecht 131,267.3,-29.25,,,,,,,
Ruprecht 131,267.3,-29.25,,,,,,,
Ruprecht 131,267.3,-29.25,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6649,278.3625,-10.40333,,,,,,,
NGC 6791,290.22083,37.77167,,,,,,,
NGC 6791,290.22083,37.77167,,,,,,,
NGC 6791,290.22083,37.77167,,,,,,,
NGC 6823,295.7875,23.3,,,,,,,
NGC 6866,300.97917,44.15833,,,,,,,
NGC 6866,300.97917,44.15833,,,,,,,
Alessi 10,301.2,-10.525,,,,,,,
Alessi 10,301.2,-10.525,,,,,,,
NGC 6882,302.95,26.81667,,,,,,,
NGC 6882,302.95,26.81667,,,,,,,
NGC 6882,302.95,26.81667,,,,,,,
NGC 6882,302.95,26.81667,,,,,,,
Berkeley 87,305.42921,37.3705,,,,,,,
NGC 6939,307.875,60.66167,,,,,,,
Alessi 12,310.82917,23.775,,,,,,,
NGC 6991,313.725,47.41667,,,,,,,
NGC 7036,317.50833,15.51833,,,,,,,
NGC 7036,317.50833,15.51833,,,,,,,
NGC 7036,317.50833,15.51833,,,,,,,
NGC 7039,317.7,45.61667,,,,,,,
NGC 7039,317.7,45.61667,,,,,,,
NGC 7039,317.7,45.61667,,,,,,,
NGC 7039,317.7,45.61667,,,,,,,
Berkeley 55,319.25,51.765,,,,,,,
NGC 7058,320.475,50.81667,,,,,,,
NGC 7063,321.1,36.48333,,,,,,,
NGC 7063,321.1,36.48333,,,,,,,
NGC 7092,322.95,48.43333,,,,,,,
NGC 7209,331.27917,46.48333,,,,,,,
