Name ,RAJ2000,DEJ2000,Age Myr,Age,Rgc,FeH,Color,DistanceMod,z,Group
Berkeley 28,06 52 12,02 56 00,63,8.799340549,12702,0.2,1.1,13.7,123,1
Bochum 2 ,06 48 54,00 23 00,5,7.698970004,0,-0.02,0.97,14.79,10.8,1
NGC 2324,07 04 07,01 02 42,427,9.630427875,4214,-0.5,0.256,13.3,242,1
NGC 2355,07 16 59,13 45 00,676,9.829946696,10112,-0.07,0.3126,11.603,397,1
Berkeley 20,05 33 00,00 13 00,6026,10.78002913,16320,-0.75,0.12,14.99,-2606,2
Berkeley 34,07 00 24,-00 15 00,2239,10.35005409,15243,-0.61,0.45,"	15.86",249,2
King 1,00 22 04,64 22 5,2455,10.3900515,9318,-0.42,0.7,13.56,51,2
King 15,00 32 54,61 52 00,302,9.480006943,10495,0.07,0.41,14.67,-55,2
NGC 2129,06 00 41 ,23 19 06,219,9.340444115,10385,0.11,0.064,12.11,5,2
Stock 18,00 01 37,64 37 3,8,7.903089987,9991,-0.24,0.07,14.41,113,2
