BITPIX  =                  -32 /32 BIT REAL NUMBERS              
EXT_DIR = '/Users/timn/CMDfit/Data/'   /Extinction directory     
EXT_FILE= 'Ext_Tables/btsettl_Mp0.0_bessell_photon.ext'        /E
   27.2064400      0.319463998    
   27.2497234      0.646822035    
   27.2772331      0.962358475    
   27.2934036       1.26822925    
   27.2949677       1.57386100    
   27.3094254       1.88435936    
   27.3201008       2.20039821    
   27.3335285       2.52163482    
   27.3418312       2.83425879    
   27.3872185       3.14698648    
   27.3986454       3.45793271    
   27.4200630       3.75172114    
   27.4224815       4.03194761    
   27.4408131       4.32947588    
   27.4417248       4.62009907    
   27.4718781       4.92684746    
   27.4865990       5.23134661    
   27.5126762       5.64622784    
   27.5303497       5.95107794    
   27.5359726       6.21584511    
   27.5367432       6.48051071    
   27.5439281       6.72662592    
   27.5647449       6.99369144    
   27.5655918       7.24282503    
   27.5677853       7.59435034    
   27.5792027       7.88507175    
   27.5793343       8.28635406    
   27.5879059       8.52711487    
   27.5885391       8.91746235    
   27.5994987       9.30567455    
   27.5998077       9.53956032    
   27.6010265       9.83382607    
   27.6032238       10.1081486    
   27.6046963       10.3886547    
   27.6131973       10.6744766    
   27.6370049       10.9634953    
   27.6377983       11.2037945    
   27.6430893       11.4665823    
   27.6518250       11.8036423    
   27.6529026       12.0774679    
   27.6532478       12.3329725    
   27.6576214       12.6256895    
   27.6626873       12.8523359    
   27.7014923       13.0960732    
   27.7234097       13.3316669    
   27.7245140       13.5671301    
   27.7277145       13.9397182    
   27.7345867       14.3110285    
   27.7374763       14.6733618    
   27.7493954       14.9283504    
   27.7532272       15.2074041    
   27.7633400       15.5049086    
   27.7672596       15.7301464    
   27.7733173       16.0261688    
   27.8079758       16.2369347    
   27.8124027       16.4521332    
   27.8135262       16.7228985    
   27.8223667       16.9576855    
   27.8342590       17.1857700    
   27.8360958       17.4084568    
   27.8461456       17.6200542    
   27.8511906       17.8568726    
   27.8593903       18.1537895    
   27.8632526       18.4570370    
   27.8683586       18.7964191    
   27.8730431       19.0004387    
   27.8895168       19.2862587    
   27.8927422       19.5347977    
   27.8933239       19.8404789    
   27.8978653       20.0563927    
   27.8980732       20.2877235    
   27.8994007       20.5787621    
   27.9023705       20.8318691    
   27.9120808       21.0837479    
   27.9271927       21.3774548    
